login,email,role,teacherId,studentId,password
admin,admin@g.nsu.ru,ADMIN,,,admin123
t1,t1@g.nsu.ru,TEACHER,DCT0001,,teacher123
t2,t2@g.nsu.ru,TEACHER,DCT0002,,teacher123
t3,t3@g.nsu.ru,TEACHER,DCT0003,,teacher123
t4,t4@g.nsu.ru,TEACHER,DCT0004,,teacher123
t5,t5@g.nsu.ru,TEACHER,DCT0005,,teacher123
t6,t6@g.nsu.ru,TEACHER,DCT0006,,teacher123
t7,t7@g.nsu.ru,TEACHER,DCT0007,,teacher123
t8,t8@g.nsu.ru,TEACHER,DCT0008,,teacher123
t9,t9@g.nsu.ru,TEACHER,DCT0009,,teacher123
ta,ta@g.nsu.ru,TEACHER,DCT0010,,teacher123
tb,tb@g.nsu.ru,TEACHER,DCT0011,,teacher123
tc,tc@g.nsu.ru,TEACHER,DCT0012,,teacher123
td,td@g.nsu.ru,TEACHER,DCT0013,,teacher123
te,te@g.nsu.ru,TEACHER,DCT0014,,teacher123
tf,tf@g.nsu.ru,TEACHER,DCT0015,,teacher123
tg,tg@g.nsu.ru,TEACHER,DCT0016,,teacher123
th,th@g.nsu.ru,TEACHER,DCT0017,,teacher123
ti,ti@g.nsu.ru,TEACHER,DCT0018,,teacher123
tj,tj@g.nsu.ru,TEACHER,DCT0019,,teacher123
tk,tk@g.nsu.ru,TEACHER,DCT0020,,teacher123
tl,tl@g.nsu.ru,TEACHER,DCT0021,,teacher123
tm,tm@g.nsu.ru,TEACHER,DCT0022,,teacher123
tn,tn@g.nsu.ru,TEACHER,DCT0023,,teacher123
to,to@g.nsu.ru,TEACHER,DCT0024,,teacher123
tp,tp@g.nsu.ru,TEACHER,DCT0025,,teacher123
tq,tq@g.nsu.ru,TEACHER,DCT0026,,teacher123
tr,tr@g.nsu.ru,TEACHER,DCT0027,,teacher123
ts,ts@g.nsu.ru,TEACHER,DCT0028,,teacher123
tt,tt@g.nsu.ru,TEACHER,DCT0029,,teacher123
tu,tu@g.nsu.ru,TEACHER,DCT0030,,teacher123
tv,tv@g.nsu.ru,TEACHER,DCT0031,,teacher123
tw,tw@g.nsu.ru,TEACHER,DCT0032,,teacher123
tx,tx@g.nsu.ru,TEACHER,DCT0033,,teacher123
ty,ty@g.nsu.ru,TEACHER,DCT0034,,teacher123
tz,tz@g.nsu.ru,TEACHER,DCT0035,,teacher123
t10,t10@g.nsu.ru,TEACHER,DCT0036,,teacher123
t11,t11@g.nsu.ru,TEACHER,DCT0037,,teacher123
t12,t12@g.nsu.ru,TEACHER,DCT0038,,teacher123
t13,t13@g.nsu.ru,TEACHER,DCT0039,,teacher123
t14,t14@g.nsu.ru,TEACHER,DCT0040,,teacher123
t15,t15@g.nsu.ru,TEACHER,DCT0041,,teacher123
t16,t16@g.nsu.ru,TEACHER,DCT0042,,teacher123
t17,t17@g.nsu.ru,TEACHER,DCT0043,,teacher123
t18,t18@g.nsu.ru,TEACHER,DCT0044,,teacher123
t19,t19@g.nsu.ru,TEACHER,DCT0045,,teacher123
t1a,t1a@g.nsu.ru,TEACHER,DCT0046,,teacher123
t1b,t1b@g.nsu.ru,TEACHER,DCT0047,,teacher123
t1c,t1c@g.nsu.ru,TEACHER,DCT0048,,teacher123
t1d,t1d@g.nsu.ru,TEACHER,DCT0049,,teacher123
t1e,t1e@g.nsu.ru,TEACHER,DCT0050,,teacher123
